TQ,DI
0.263013699,2
0.263013699,2
0.263013699,2
0.293150685,2
0.276712329,2
0.224657534,2
0.205479452,2
0.205479452,2
0.205479452,2
0.205479452,2
0.205479452,2
0.205479452,2
0.205479452,2
0.205479452,2
0.205479452,2
0.205479452,2
0.205479452,2
0.293150685,2
0.276712329,2
0.276712329,2
0.293150685,2
0.263013699,3
0.271232877,3
0.271232877,3
0.252054795,2
0.252054795,2
0.252054795,2
0.263013699,2
0.263013699,2
0.263013699,2
0.2,3
0.293150685,3
0.276712329,3
0.293150685,2
0.276712329,2
0.252054795,2
0.252054795,2
0.252054795,2
0.293150685,2
0.276712329,2
0.293150685,2
0.293150685,2
0.293150685,2
0.334246575,3
0.271232877,3
0.271232877,3
0.334246575,3
0.334246575,3
0.219178082,3
0.219178082,3
0.219178082,2
0.219178082,3
