TQ,DI
0.369863014,1
0.268493151,2
0.243835616,2
0.326027397,2
0.252054795,1
0.210382514,1
0.210382514,1
0.215846995,1
0.193989071,0
0.245901639,0
0.245901639,0
0.245901639,0
0.245901639,0
0.207650273,0
0.226775956,0
0.180327869,0
0.385245902,0
0.213114754,0
0.213114754,0
0.226775956,0
0.226775956,0
0.213114754,0
0.385245902,0
0.226775956,0
0.385245902,0
0.202185792,0
0.385245902,0
0.196721311,1
0.196721311,0
0.229508197,0
0.229508197,0
0.229508197,0
0.210382514,1
0.204918033,1
0.196721311,1
0.18579235,1
0.18579235,1
0.18579235,1
0.18579235,1
0.18579235,1
0.18579235,1
0.18579235,1
0.18579235,1
0.18579235,1
0.18579235,1
0.18579235,1
0.210382514,1
0.204918033,1
0.204918033,1
0.210382514,0
0.25136612,0
0.256830601,0
0.256830601,1
0.256830601,1
0.256830601,1
0.256830601,0
0.229508197,0
0.229508197,0
0.229508197,0
0.163934426,1
0.210382514,1
0.204918033,1
0.210382514,1
0.204918033,1
0.196721311,1
0.196721311,1
0.196721311,1
0.210382514,1
0.204918033,1
0.210382514,1
0.210382514,1
0.210382514,0
0.409836066,0
0.267759563,0
0.267759563,0
0.409836066,0
0.409836066,0
0.224043716,0
0.224043716,0
0.224043716,0
0.224043716,0
0.25136612,0
0.25136612,0
0.25136612,0
0.292349727,1
0.409836066,0
0.267759563,0
0.267759563,0
0.267759563,0
0.267759563,0
0.267759563,0
0.267759563,0
0.267759563,0
0.267759563,0
0.267759563,0
0.267759563,0
0.267759563,0
0.256830601,1
0.163934426,1
0.163934426,1
0.163934426,1
0.163934426,1
0.163934426,1
0.163934426,1
0.163934426,1
0.163934426,1
0.256830601,1
0.281420765,1
0.281420765,1
0.281420765,1
0.281420765,1
0.281420765,1
0.281420765,1
0.281420765,1
0.281420765,1
0.281420765,1
0.281420765,1
0.404371585,1
0.404371585,1
0.25136612,1
0.25136612,1
0.25136612,1
0.25136612,1
0.292349727,1
0.234972678,0
0.24863388,0
0.207650273,0
0.37704918,0
0.196721311,1
0.224043716,0
0.245901639,0
0.163934426,1
0.163934426,1
0.234972678,0
0.245901639,0
0.193989071,0
0.193989071,0
0.213114754,0
0.226775956,0
0.245901639,0
0.281420765,1
0.196721311,1
0.25136612,0
0.210382514,0
0.267759563,0
0.25136612,0
0.210382514,0
0.226775956,0
0.25136612,0
0.25136612,0
0.409836066,0
0.210382514,0
0.226775956,0
0.24863388,0
0.267759563,0
0.409836066,0
0.234972678,0
0.163934426,1
0.234972678,0
0.210382514,1
0.193989071,0
0.226775956,0
0.207650273,0
0.267759563,0
0.267759563,0
0.267759563,0
0.224043716,0
0.224043716,0
0.210382514,1
0.281420765,1
0.25136612,1
0.25136612,0
0.25136612,0
0.267759563,0
0.196721311,1
0.224043716,1
0.292349727,1
0.259562842,0
0.234972678,0
0.281420765,1
0.163934426,1
0.219178082,2
0.219178082,2
0.219178082,2
0.290410959,2
0.312328767,2
0.312328767,2
0.312328767,2
0.312328767,2
0.210958904,2
0.276712329,2
0.189041096,2
0.304109589,2
0.221917808,2
0.221917808,2
0.276712329,3
0.276712329,3
0.221917808,2
0.304109589,2
0.276712329,3
0.304109589,2
0.219178082,2
0.304109589,2
0.224657534,2
0.224657534,2
